,overall_severity,X
195,5.0,"['southwood', 'gay', 'southwood', 'main', 'school', 'thee', 'unwanted', 'retarded', 'unreasonable', 'drama', 'stupidest', 'people', 'life', 'nobody', 'like', 'southwood', 'main', 'school', 'thee', 'unwanted', 'retarded', 'unreasonable', 'drama', 'stupidest', 'people', 'life', 'nobody', 'like']"
196,5.0,"['would', 'u', 'ever', 'give', 'blow', 'job', 'would', 'u', 'ever', 'drink', 'sperm', 'really', 'want', 'wan', 'na', 'sex', 'much', 'even', 'funny', 'hard', 'ger', 'u', 'ever', 'give', 'blowjob', 'would', 'u', 'ever', 'drink', 'sperm']"
197,5.0,"['fucking', 'fake', 'delete', 'fucking', 'fake', 'say', 'nope', 'oh', 'leave', 'people', 'alone', 'delete', 'fucking', 'fake']"
198,5.0,"['fucking', 'stupid', 'put', 'name', 'annonimus', 'fucking', 'retard', 'fucking', 'stupid', 'put', 'name', 'annonimus', 'fucking', 'retard', 'fucking', 'leave', 'alone', 'stupid', 'kunt', 'dueces', 'fucking', 'stupid', 'put', 'name', 'annonimus', 'fucking', 'retard', 'kunt', 'dueces']"
199,5.0,"['big', 'yo', 'u', 'big', 'nose', 'girl', 'big', 'nose', 'big', 'u', 'big', 'nose', 'seriously', 'girl', 'big', 'nose', 'big']"
200,5.0,"['suck', 'dick', 'suck', 'dick', 'apos', 'cool', 'suck', 'dick']"
201,5.0,"['boyfriend', 'ugly', 'as', 'mexican', 'flat', 'ugly', 'boyfriend', 'ugly', 'as', 'mexican', 'like', 'give', 'prop', 'going', 'junior', 'flat', 'ugly', 'try', 'going', 'guy', 'grade', 'something', 'cause', 'pothead', 'look', 'heading', 'road']"
202,5.0,"['grow', 'fuck', 'grow', 'ball', 'grow', 'fuck', 'grow', 'ball', 'stop', 'trying', 'start', 'shit', 'grow', 'fuck', 'grow', 'ball']"
203,5.0,"['homo', 'spam', 'u', 'egg', 'dnt', 'want', 'ur', 'wack', 'contact', 'p', 'aint', 'spaming', 'one', 'aint', 'uch', 'geeko', 'lmfao', 'shup', 'fool', 'saw', 'u', 'right', 'top', 'lol', 'homo', 'spam', 'u', 'egg']"
204,5.0,"['fucking', 'pussy', 'dont', 'even', 'put', 'name', 'leave', 'kasey', 'alone', 'apos', 'hell', 'lot', 'nicer', 'apos', 'shut', 'yo', 'damn', 'mouf', 'yes', 'purposely', 'spelled', 'word', 'apos', 'wrong', 'need', 'correct', 'hah', 'fuck', 'ganna', 'r', 'show', 'much', 'know', 'fucking', 'pussy', 'dont', 'even', 'put', 'name', 'leave', 'kasey', 'alone', 'hell', 'lot', 'nicer', 'shut', 'yo', 'damn', 'mouf', 'yes', 'purposely', 'spelled', 'word', 'wrong', 'need', 'correct', 'hah', 'fuck', 'ganna', 'r', 'show', 'much', 'know', 'fucking', 'pussy', 'dont', 'even', 'put', 'name']"
205,5.0,"['girl', 'kind', 'friend', 'like', 'emily', 'spreading', 'rumour', 'spreading', 'rumour', 'said', 'really', 'man', 'lol', 'man', 'sings', 'like', 'one', 'man', 'sings', 'like', 'one']"
206,5.0,"['yuh', 'fuckin', 's3xi', 'asz', 'lip', 'bitin', 'nigga', 'yuh', 'fuckin', 's3xi', 'asz', 'lip', 'bitin', 'nigga']"
207,5.0,"['asian', 'tight', 'girl', 'asian', 'yo', 'sexy', 'asian', 'tight', 'girl']"
208,5.0,"['sure', 'hate', 'ignorant', 'texan', 'low', 'level', 'scum', 'sucker', 'sure', 'hate', 'ignorant', 'texan', 'believe', 'texas', 'give', 'right', 'act', 'like', 'low', 'level', 'scum', 'sucker', 'hate', 'ignorant', 'texan']"
209,5.0,"['think', 'gay', 'think', 'gay']"
210,5.0,"['bxtch', 'fuk', 'wrung', 'wid', 'yo', 'lyfe', 'aihh', 'nd', 'anit', 'gay', 'alix', 'anit', 'see', 'mi', 'dik', 'get', 'ghost', 'fuk', 'face', 'hoe', 'uqlie', 'azz', 'fuck', 'ya', 'dick', 'small', 'nigga', 'ugly', 'bxtch', 'fuk', 'wrung', 'anit', 'gay', 'fuk', 'face', 'hoe']"
211,5.0,"['knock', 'bitch', 'fight', 'knock', 'bitch', 'fight', 'knock', 'bitch', 'fight']"
212,5.0,"['fake', 'mean', 'look', 'pretty', 'fake', 'mean', 'look', 'pretty', 'fake', 'stfu']"
213,5.0,"['jizzed', 'pic', 'jizzed', 'pic', 'jizzed', 'pic']"
214,5.0,"['want', 'blow', 'job', 'blowjob']"
215,5.0,"['kick', 'nut', 'kick', 'nutts', 'run', 'biatch']"
216,5.0,"['filthy', 'mexican', 'filthy', 'mexican']"
217,5.0,"['even', 'know', 'fuck', 'leaving', 'shit', 'wall', 'seriously', 'get', 'life', 'fuck', 'shit']"
218,5.0,"['shuddup', 'fool', 'beat', 'shuddup', 'fool', 'beat', 'shut', 'fool', 'beat']"
219,5.0,"['ugly', 'little', 'slut', 'gon', 'na', 'baby', 'time', 'u', 'turn', '13', 'every', 'guy', 'really', 'bitch', 'grow', 'fuck', 'act', 'age', 'ugly', 'little', 'slut', 'bett', 'ur', 'gon', 'na', 'baby', 'time', 'u', 'turn', '13', 'think', 'cute', 'every', 'guy', 'everyone', 'think', 'ur', 'annoying', 'act', 'ur', 'age']"
220,5.0,"['virgin', 'virgin']"
221,5.0,"['ugly', 'shit', 'worst', 'ugly', 'go', 'die', 'ugly', 'shit', 'stupid', 'say', 'pretty', 'people', 'like', 'oh', 'pretty', 'blah', 'blah', 'blah', 'stop', 'mean', 'totally', 'agree', 'ugly', 'shit', 'worse', 'ugly', 'shit', 'go', 'die']"
222,5.0,"['dumb', 'bitch', 'like', 'fucking', 'five', 'bitch', 'get', 'fucking', 'life', 'come', 'back', 'fucking', 'horrible', 'dumb', 'bitch', 'wtf', 'like', 'fucking', 'five', 'like', 'know', 'yeahhhh', 'bitch', 'get', 'fucking', 'life', 'fucking', 'horrible', 'dumb', 'bitch', 'wtf', 'like', 'fucking', 'five', 'bitch', 'get', 'fucking', 'life']"
223,5.0,"['bitchass', 'nigga', 'bitchass', 'nigga', 'youz', 'bitchass', 'nigga']"
224,5.0,"['dont', 'talk', 'rubinathy15', 'stupid', 'dont', 'talk', 'rubinathy15', 'stupid', 'dont', 'talk', 'rubinathy15', 'stupid']"
225,5.0,"['fucking', 'ugly', 'bitch', 'get', 'life', 'fuck', 'u', 'ho', 'u', 'ugliii', 'ew', 'hoe', 'ghet', 'lyfe', 'bitch', 'yu', 'soft', 'yuu', 'get', 'fuckinn', 'life', 'stop', 'worryinn', 'bowt', 'mine', 'yu', 'fuckk', 'hoe', 'u', 'ugliii', 'ew', 'hoe', 'ghet', 'lyfe']"
226,5.0,"['u', 'think', 'ur', 'prettiest', 'girl', 'wow', 'stupid', 'ur', 'pretty', 'u', 'think', 'ur', 'prettiest', 'girl', 'wow', 'stupid', 'saying', 'despite', 'girl', 'think', 'pretty']"
227,5.0,"['aint', 'gott', 'friend', 'chick', 'aint', 'gott', 'friend', 'like', 'start', 'wif', 'ppl']"
228,5.0,"['bitchass', 'wont', 'leave', 'name', 'yourr', 'callingg', 'mee', 'ahh', 'pussy', 'bitchass', 'wont', 'leave', 'name', 'right', 'wan', 'na', 'get', 'im', 'telling', 'im', 'one', 'one', 'let', 'goo', 'fake', 'bitch', '333']"
229,5.0,"['fuck', 'bitch', 'yeah', 'go', 'ahead', 'play', 'victim', 'know', 'nico', 'thats', 'know', 'player', 'fuck', 'bitch', 'know', 'would', 'know', 'lindsey', 'haley', 'played', 'shut', 'mouth', 'player', 'fuck', 'bitch']"
230,5.0,"['lil', 'stiiick', 'bitch', 'stop', 'trying', 'act', 'hard', 'like', 'u', 'stank', 'hoe', 'u', 'kan', 'hop', 'mah', 'shit', 'fuk', 'u', 'lil', 'stiiick', 'bitch', 'wellll', 'lil', 'stiiick', 'bitch']"
231,5.0,"['hate', 'could', 'give', 'two', 'shit', 'fuck', 'hatred', 'late', 'hate', 'could', 'give', 'two', 'shit', 'fuck', 'hatred', 'hate']"
232,5.0,"['want', 'fuck', 'tight', 'as', 'want', 'fuck', 'tight', 'as', 'wan', 'na', 'fuck', 'tight', 'as']"
233,5.0,"['fuck', 'freshman', 'faggg', 'damnn', 'oh', 'get', 'stop', 'trying', 'fuck', 'freshman', 'faggg', 'faggg']"
234,5.0,"['uhh', 'sound', 'like', 'retard', 'say', 'shit', 'like', 'retard', 'sound', 'like', 'retard']"
235,5.0,"['go', 'fall', 'stair', 'condom', 'screw', 'go', 'fall', 'stair', 'r', 'color', 'condom', 'sexual', 'harassment']"
236,5.0,"['go', 'fuck', 'suck', 'go', 'fuck', 'go', 'fuck']"
237,5.0,"['get', 'brain', 'day', 'get', 'brain', 'day', 'either', 'handing', 'people', 'would', 'use', 'get', 'brain', 'day', 'either', 'handing', 'people', 'would', 'use']"
238,5.0,"['slut', 'bunch', 'number', 'word', 'slut', 'spelled', 'slut', 'send', 'shit', 'like']"
239,5.0,"['want', 'fuck', 'want', 'fuck', 'want', 'fuck']"
240,5.0,"['raped', 'killed', 'cat', 'ate', 'heard', 'youraped', 'kaylas', 'cat', 'killed', 'aet', 'dinner']"
241,5.0,"['whore', 'say', 'booo', 'whore', 'talking', 'im', 'confused', 'still', 'stalking', 'trying', 'put', 'stop', 'whore']"
242,5.0,"['nemo', 'star', 'shit', 'cow', 'fagget', 'lol', 'cow', 'fagget', 'bet', 'nemo', 'star', 'shit', 'cow', 'fagget', 'lol']"
243,5.0,"['wear', 'like', 'shirt', 'really', 'dumbfuck', 'dumbfuck', 'dumbfuck']"
244,5.0,"['fuckin', 'retard', 'fuck', 'fuckin', 'retard', 'guarantee', 'fuckin', 'retard', 'soooo', 'fuck']"
