,overall_severity,X
0,10.0,"['oh', 'france', 'hunny', 'dont', 'try', 'talk', 'ghetto', 'white', 'as', 'doesnt', 'fucking', 'scare', 'break', 'fucking', 'half', 'break', 'fucking', 'half', 'back', 'fuck', 'entire', 'question', 'entire', 'answer']"
1,10.0,"['trick', 'as', 'nigga', 'fxckin', 'murder', 'fuckinn', 'bitch', 'fxckin', 'murder', 'say', 'face', 'trick', 'as', 'nigga', 'fxckin', 'murder', 'aint', 'tryna', 'make', 'body', 'feel', 'bad', 'hush', 'got', 'something', 'say', 'please', 'step', 'show', 'namee', 'fuckinn', 'bitch', 'whuss']"
2,10.0,"['ur', 'gunna', 'get', 'jumped', 'u', 'stupid', 'bitch', 'stupid', 'bitch', 'fuck', 'ur', 'gunna', 'get', 'jumped', 'u', 'stupid', 'bitch']"
3,10.0,"['ill', 'fucking', 'kill', 'shut', 'fuck', 'hardcore', 'cunt', 'even', 'nico', 'nott', 'want', 'go', 'near', 'dont', 'fucking', 'scare', 'bitch', 'ill', 'fucking', 'kill', 'faught', 'shut', 'fuck', 'hardcore', 'cunt', 'stop', 'acting', 'badass', 'stop', 'bitch', 'dont', 'fucking', 'scare', 'bitch', 'ill', 'fucking', 'kill', 'faught']"
4,10.0,"['swear', 'fucking', 'god', 'bitch', 'swear', 'fucking', 'god', 'bitch', 'hate', 'much', 'think', 'add', 'people', 'talk', 'shit', 'page', 'haha', 'naaa', 'yuuu', 'must', 'got', 'u', 'fucked', 'im', 'going', 'hunt', 'as', 'beat', 'shit', 'youu', 'hand', 'kbitchhhh', 'lame', 'as', 'joke', 'shit', 'swear', 'fucking', 'god', 'bitch', 'hate', 'much', 'im', 'going', 'hunt', 'as', 'beat', 'shit', 'youu', 'hand']"
5,10.0,"['smile4mexxx', 'trailer', 'trash', 'racist', 'fat', 'cow', 'bimbo', 'fucking', 'slut', 'worthless', 'hell', 'good', 'someone', 'using', 'body', 'sex', 'dumping', 'street', 'racist', 'fat', 'cow']"
6,10.0,"['bitch', 'ill', 'kill', 'nigga', 'suck', 'dick', 'kill', 'suck', 'dick', 'ill', 'kill', 'nigga', 'suck', 'dick']"
7,9.0,"['motherfucker', 'go', 'kill', 'self', 'whoever', 'fuck', 'shut', 'fucking', 'mouth', 'tell', 'someone', 'go', 'kill', 'motherfucker', 'go', 'kill', 'self', 'fuck', 'motherfucker', 'fucking']"
8,9.0,"['slut', 'act', 'ur', 'age', 'pathetic', 'get', 'life', 'suck', 'dick', 'r', 'r', 'peace', 'bitch', 'agreee', 'stop', 'slut', 'act', 'ur', 'age', 'pathetic', 'get', 'life', 'dont', 'know', 'suck', 'dick', 'stop', 'slut', 'dont', 'know', 'suck', 'dick']"
9,9.0,"['fucking', 'leave', 'alone', 'crazy', 'bitch', 'need', 'get', 'krista', 'annoying', 'bitch', 'obsessed', 'spread', 'rumor', 'dont', 'like', 'fucking', 'hate', 'leave', 'fuck', 'alone', 'fucking', 'leave', 'alone', 'crazy', 'bitch', 'annoying', 'bitch', 'dont', 'like', 'fucking', 'hate', 'leave', 'fuck', 'alone', 'annoying', 'bitch', 'crazy', 'bitch', 'fucking', 'hate']"
10,9.0,"['gay', 'gay', 'da', 'funk', 'problem', 'homie', 'gay']"
11,9.0,"['im', 'big', 'fan', 'betty', 'u', 'ugler', 'fuck', 'bitch', 'u', 'ugly', 'shit', 'head', 'fuck', 'bitch', 'u', 'ugly', 'shit', 'head', 'lot', 'curse', 'word', 'hurtful', 'term', 'question']"
12,9.0,"['like', 'ugly', 'as', 'hoe', 'bet', 'lesbain', 'look', 'like', 'bet', 'older', 'see', 'anonymous', 'porn', 'ad', 'btw', 'heard', 'stuff', 'bra', 'hahahhaaaa', 'boob', 'r', 'comment', 'sexual', 'orientation', 'calling', 'lesbian', 'saying', 'porn', 'movie', 'bet', 'lesbain', 'look', 'like', 'bet', 'older', 'apos', 'see', 'anonymous', 'porn', 'ad', 'btw', 'heard', 'stuff', 'bra', 'hahahhaaaa', 'boob', 'r']"
13,9.0,"['fucking', 'immature', 'faggot', 'friend', 'fucking', 'immature', 'sorry', 'friend', 'rude', 'everyone', 'stupid', 'anonymous', 'show', 'face', 'faggot', 'fucking', 'immature', 'sorry', 'friend', 'rude', 'everyone', 'jealous', 'im', 'sexy', 'p', 'stupid', 'anonymous', 'show', 'face', 'faggot']"
14,9.0,"['creepy', 'stalker', 'everyone', 'fucking', 'hate', 'everyone', 'know', 'fucking', 'remind', 'harmony', 'flashpink', 'uglier', 'alittle', 'pathetic', 'everyone', 'know', 'fake', 'girl', 'want', 'attention', 'dumbfuck', 'q', 'say', 'everyone', 'hate', 'us', 'lot', 'curse', 'work', 'call', 'ugly', 'fake', 'pathetic', 'call', 'dumbfuck', 'apparently', 'called', 'q', 'creepy', 'stalker', 'everyone', 'fucking', 'hate', 'everyone', 'know', 'fucking', 'remind', 'harmony', 'flashpink', 'uglier', 'little', 'pathetic', 'everyone', 'know', 'face', 'want', 'attention', 'dumbfuck']"
