,overall_ans,overall_severity,X
0,0,0.0,Q: what&#039;s your favorite song? :D<br>A: I like too many songs to have a favorite
1,0,0.0,Q: <3<br>A: </3 ? haha jk! <33
2,0,0.0,Q: &quot;hey angel  you duh sexy&quot;<br>A: Really?!?! Thanks?! haha
3,0,0.0,Q: (:<br>A: ;(
4,0,0.0,Q: ******************MEOWWW*************************<br>A: *RAWR*?
5,0,0.0,Q: any makeup tips? i suck at doing my makeup lol<br>A: Sure! Like tell me wht u wnna know?! Like wht do you use?!
6,0,0.0,Q: Apriiiiiiiiiiiill!!! I miss uuuu! It&#039;s Emma btw haha<br>A: EMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333
7,0,0.0,Q: Are you a morning or night person?<br>A: Night 4shuree!!
8,0,0.0,Q: are you a trusting person?<br>A: alreadi answrd
9,0,0.0,Q: are you a trusting person?<br>A: Yes veryy trustin person!!! May i help yuh:!
10,0,0.0,Q: Are you and @TruAce best friends?<br>A: Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk
11,0,0.0,Q: Are you more of a talker or more of a listener?<br>A: Listener definitely chuz i get cut off alot so i just listen or ignore pplz!
12,0,0.0,Q: Are yuh single and ready 2 mingle?!<br>A: Hahaha Yup! Bhut not lookin 4 a man rite atm chuz dey 2much drama!
13,0,0.0,Q: ask me something!!!<br>A: :)
14,0,0.0,Q: BAHAHAhAHA....took you longer enough;p......GEES GIRL hahah...no its totally okay:) i just wanted to play guess who i am hahaha..i fuckinggg love you too;) <3<br>A: Hahahahhaahhaha:D ikrr im a slow american wht more can i say lmfaoo!! hahaha <333 Aww! hahaha
15,0,0.0,Q: bahahahahhaha ;p<br>A: lmaoo!!!!
16,0,0.0,Q: can you please sing a cover of any justin bieber song? :D<br>A: Hahaha... I dont sing!! LOL! so srry! Im horrible. btw I dedicate &quot;SMILE&quot; 2 yuh! Its playing!!
17,0,0.0,Q: Cats or Dogs?<br>A: Dogs! Im allergic 2 cats=
18,0,0.0,Q: Chocolate or Vanilla?<br>A: Chocolate! Bahah!
19,0,0.0,Q: definitely true! :D i&#039;ve been learnin it for 5 years cuz i&#039;ve frensh origins haha ;)<br>A: Ahhh!!;) wow 5yrs! man  its a gorgeous language! I love it!! this is my first year learnin it! haha NEWBIE!
20,0,0.0,Q: Did u watch bieber on oprah?<br>A: Well sortaa! I just got 2 wtch thee Charice part! Shes awesome <3 hbu?!
21,0,0.0,Q: Do you believe in life after death?<br>A: Yes of course i do... Its called Eternity with God in heaven!<3
22,0,0.0,Q: Do you believe in luck?<br>A: Yes  bhut I think luck is blessing from God actually! in my opinioN!
23,0,0.0,Q: Do you believe there&#039;s intelligent life on other planets?<br>A: If God created them then hellz yes!
24,0,0.0,Q: Do you consider yourself a good dancer?<br>A: Hahaha Bitch i bring it lmao! Kinda i think lmao! I hve some black in me so yes haha
25,0,0.0,Q: do you have a bf??<br>A: Nope ;/ Bhut Not Having a BF doesnt mean The WORLD ends;] I guess im waiting 4 the 1  ya kno? Hbu mamas?!
26,0,0.0,Q: Do you have any favorite YouTube star?<br>A: I have 2 actually! Justin Bieber (ofcourse) &amp;&amp; Scipio Mondai!
27,0,1.3333333333333333,fake a$$ friend!!</3fake a$$ friend
28,0,0.0,Q: Do you have any piercings?<br>A: Yuppers! Nose and Cartilage piercings(;
29,0,0.0,Q: Do you have any scars on your body?  If so  how&#039;d you get them?<br>A: Hahaha. Strange!:S
30,0,0.0,Q: do you like atlanta  GA ?<br>A: yes i love ATL!! great place 2 live  wish i lived there! ;D
31,0,0.0,Q: do you think that a size 10 is fat? i&#039;m trying to be a size 5 by the end of the year.<br>A: Omg NO WAY!!! 10 is actually small!!! Don't change thee way you look 4 ANYONE!!! bhut yourslf. Kay?!
32,0,0.0,Q: do you think you&#039;re a good friend?<br>A: Fuck yes i think i am! haha
33,0,0.0,Q: do you watch american idol? if so  who are you voting for this season?<br>A: Awww man you just reminded me! I wtch it sometimes bhut i love Big Mike! Pplz are really wrong bout letting Katie go!! Argh . .
34,0,0.0,Q: Do yuh have any stalkers?<br>A: Hell yes! Lots of them and thats including yuh!<3
35,0,0.0,Q: don&#039;t listen to the haters  you are pretty!<br>A: :D thank you gurl/boy ? I really appreciate it!<33
36,0,0.0,Q: Favorite store?<br>A: ATM Rue 21;D Or Forever21 <3
37,1,3.6666666666666665,Ur a fuckin idiot!Ur a fuckin idiotUr a fuckin idiot
38,0,0.0,Q: growl;]<br>A: Meowl?;D If thts a word haha<3
39,0,0.0,Q: guesss who ;)<br>A: Idk hoe get cha own cup of blackberry with a hint of lemon ice tea. Dayumm! hahah JK Brooke?
40,0,0.0,Q: -Haa you guessedd righhtttt:Dr its Maryyyy(: ahhh ilovee this picture!!!!!!!!!! mayb becuase youhr in it babe<3<br>A: Off courrseeee dudee hahahahaha!!!! Awhhh lol! i think i love it 2 chuz im in it lol!!!! jk! i love yuh!!
41,0,0.0,Q: haaa its all qud  sorry abouht the &quot;hoe&quot; thinq  iwas mad lol<br>A: lmfao! haha! Nahh its my badd;)
42,0,0.0,Q: haha ;)so.. have u ever been to france?<br>A: Pfftt!! nahhh i hve never been outta this country!! Argh! hve yuh?! haha
43,0,0.0,Q: haha check inside ur closet u mind find out who it is(;<br>A: Lmao!! kk lemme get my ass off this toliet seat then ill check!! Mwahah!! jk
44,0,0.0,Q: HAHA NOPE IM NOT TAQUISHA EITHER....i TALK TO YOU ALOT ON TWITTER;) <3<br>A: OMG!!!!! tell me!!!! ughh grrr rawrr bianca? LMAO! idkk TELL ME!
45,0,0.0,Q: HAHAH GUESS WHO!? <3<br>A: Mary?! lol hahahaha
46,0,0.0,Q: hahah okey dokey!..sweet thang(;<br>A: Mwahaha!!! Sweet thang! i love it!!
47,1,3.6666666666666665,BitchBITCH
48,0,0.0,Q: HAHAHA NOPE! ...<br>A: Uhhhhh!!!! OMG! Taquisha? LOL!
49,0,0.0,Q: have u seen JUSTIN BIEBER in person? (:<br>A: Nope:[ I wish  bhut hey i might someday rite haha..Hbu?!
50,0,0.0,Q: Have you broken any bones?  If so  how?<br>A: Haha nahh ive just fractured some thumbs bhut itz all good lol
51,0,0.0,Q: have you ever been on itellyouthat.com? go there and tell something to the world :D<br>A: Hahah OHKAY?!
52,0,0.0,Q: have you ever had your heart broken?<br>A: Yup yup!!:P
53,0,0.0,Q: hehe yup  it&#039;s awesome  but the pronunciation is incredibly haaard :D<br>A: haha!! it is haha lol!! man i hvnt even gotten 2 dat part yet! FML hah
54,0,0.0,Q: Hello. My friend is also named April.<br>A: Nicee!
55,0,0.3333333333333333,Q: Hello?<br>A: Hey  hows yah momma?!
56,0,0.0,Q: -Hellz yeahh(: of course i&#039;m qoinqq i wannah b with you quy&#039;s  like duhh<3<br>A: ahahaha!!!(: It wuzz funn!(: lmao<3
57,0,0.0,Q: Hey my name is April too! Haha. People named April are always cool. LOL.<br>A: Hahaha!!! Ohh cool wait are yuh thee april on twitter?! april2? haha yay! We beasts yo! haa
58,0,0.0,Q: hey you&#039;re an amazing nice and sweet girl..pretty too!<br>A: Awwhhh!!!Thank yuh Jacob ur really nice!!! Might be my new bestie <33 Thank YUH SO MUCH!
59,1,5.666666666666668,"""""""why you such a bitch?""""""""""""Bitch""""""Why you such a bitch?"
60,0,0.0,Q: Heyyy Abrilll(:!!! iloveyhuuu<3 muchooo!!<br>A: Heyy Marribbbiii!! lmao! iloveyuhhh muchooo moeee!!!;) are yuh goin tmrw?!
