word,count,severity
annoying,1,3
annoying,2,3
annoying,3,2
ass,1,3
asshole,1,3
asshole,2,3
asshole,3,3
asshole,4,3
ballfuck,1,3
bitch,1,3
bitch,2,3
bitch,3,3
bitch,4,3
bitch,5,3
bitch,6,3
bitch,7,3
bitch,8,3
bitch,9,3
bitch,10,3
bitch,11,3
bitch,12,3
bitch,13,2
bitch,14,2
bitch,15,2
bitch,16,2
bitch,17,2
boob,1,2
boob,2,3
boobyhead,1,3
bullshit,1,2
bullshit,2,2
bumcrack,1,3
butt,1,3
buttfuck,1,3
damn,1,3
damn,2,2
dick,1,3
dick,2,3
dick,3,3
dick,4,3
dick,5,3
dick,6,3
dick,7,3
dick,8,3
dirty,1,3
dirty,2,3
douchebag,1,3
dumb,1,3
dumb,2,3
dumb,3,3
dumb,4,2
dumb,5,2
dumb,6,2
dumbass,1,3
dumbshit,1,3
dummy,1,3
fake,1,3
fake,2,3
fake,3,3
fake,4,3
fake,5,2
fat,1,3
fat,2,3
fat,3,3
fat,4,2
fatherfuck,1,3
fuck,1,3
fuck,2,3
fuck,3,3
fuck,4,3
fuck,5,3
fuck,6,3
fuck,7,3
fuck,8,3
fuck,9,3
fuck,10,3
fuck,11,3
fuck,12,3
fuck,13,3
fuck,14,3
fuck,15,3
fuck,16,3
fuck,17,3
fuck,18,3
fuck,19,3
fuck,20,3
fuck,21,3
fuck,22,2
fuck,23,2
fuck,24,2
fuck,25,2
fuck,26,2
fuck,27,2
fuck,28,2
gay,1,3
gay,2,3
gay,3,3
gay,4,3
gay,5,3
gay,6,2
gay,7,2
gross,1,3
hairy,1,2
hate,1,2
homo,1,3
idiot,1,3
ill,1,3
iloveyourpenis,1,3
immature,1,3
jerk,1,3
jerk,2,2
kill,1,2
lame,1,3
lame,2,2
midget,1,2
nasty,1,3
nasty,2,3
nasty,3,3
nasty,4,3
nasty,5,3
nerd,1,3
nigger,1,3
nigger,2,3
nigger,3,2
nipple,1,3
pathetic,1,3
pathetic,2,3
pathetic,3,2
pedophile,1,3
pedophile,2,2
penis,1,3
pimp,1,3
pussy,1,3
pussy,2,3
pussy,3,3
pussy,4,3
rape,1,3
rape,2,2
retard,1,2
sex,1,3
shit,1,3
shit,2,3
shit,3,3
shit,4,3
shit,5,3
shit,6,3
skank,1,3
skinny,1,3
slut,1,3
slut,2,3
slut,3,3
slut,4,3
slut,5,3
stfu,1,3
stfu,2,3
stfu,3,3
stfu,4,3
stfu,5,3
stfu,6,3
stupid,1,3
stupid,2,3
stupid,3,3
stupid,4,2
stupid,5,2
suck,1,3
suck,2,2
tit,1,3
tit,2,3
ugly,1,3
ugly,2,3
ugly,3,3
ugly,4,3
ugly,5,3
ugly,6,3
ugly,7,2
ugly,8,2
ugly,9,2
vagina,1,3
wank,1,2
whore,1,3
whore,2,3
whore,3,3
whore,4,3
whore,5,3
whore,6,3
whore,7,2
whore,8,2
wtf,1,3
wtf,2,3
wtf,3,3
wtf,4,3
wtf,5,3
wtf,6,3
wtf,7,2
